wrestler,opponent,wrestler_key,wrestler_score,opponent_key,opponent_score,_round,overtime,fall_time,result,winner,wrestler_seed,wrestler_school,opponent_seed,opponent_school,weight,opponent_weight,year,check,0
Pat McDade,Joe Rozanc,Pat McDade,-1,Joe Rozanc,-2,r32,,1:36,F,Pat McDade,3,Boise State,,Clarion,275,275,1989,0,
Bryan Bittle,Matt Lindley,Bryan Bittle,6,Matt Lindley,4,r32,,,DEC,Bryan Bittle,,Clemson,,Purdue,275,275,1989,0,
David Jones,Bob Potokar,David Jones,2,Bob Potokar,3,r32,,,DEC,Bob Potokar,6,Cal State-Fullerton,,Michigan,275,275,1989,0,
Bye,Chris Thornbury,Bye,-4,Chris Thornbury,-3,r32,,,DFT,Chris Thornbury,,Bye,11,Tennessee-Chattanooga,275,275,1989,0,
Tom Osendorf,Jon Llewellyn,Tom Osendorf,4,Jon Llewellyn,12,r16,,,MD,Jon Llewellyn,,Cal State-Bakersfield,4,Illinois,275,275,1989,0,
Kirk Mammen,John Matyiko,Kirk Mammen,0,John Matyiko,6,r16,,,DEC,John Matyiko,,Oklahoma State,5,Virginia,275,275,1989,0,
Carlton Haselrig,Rob Cole,Carlton Haselrig,-1,Rob Cole,-2,r16,,1:45,F,Carlton Haselrig,1,Pittsburgh-Johnstown,,Syracuse,275,275,1989,0,
Andy Haman,Greg Haladay,Andy Haman,2,Greg Haladay,1,r16,,,DEC,Andy Haman,9,Iowa,8,Penn State,275,275,1989,0,
Clark Schnepel,Joel Greenlee,Clark Schnepel,2,Joel Greenlee,18,r16,,6:20,TF,Joel Greenlee,,Nebraska-Omaha,2,Northern Iowa,275,275,1989,0,
Jeff Balcom,Brian Jackson,Jeff Balcom,2,Brian Jackson,1,r16,1,,DEC,Jeff Balcom,10,Minnesota,7,North Carolina State,275,275,1989,0,
Pat McDade,Bryan Bittle,Pat McDade,-1,Bryan Bittle,-2,r16,,2:09,F,Pat McDade,3,Boise State,,Clemson,275,275,1989,0,
Bob Potokar,Chris Thornbury,Bob Potokar,3,Chris Thornbury,4,r16,1,,DEC,Chris Thornbury,,Michigan,11,Tennessee-Chattanooga,275,275,1989,0,
Jon Llewellyn,John Matyiko,Jon Llewellyn,5,John Matyiko,1,r8,,,DEC,Jon Llewellyn,4,Illinois,5,Virginia,275,275,1989,0,
Carlton Haselrig,Andy Haman,Carlton Haselrig,4,Andy Haman,1,r8,,,DEC,Carlton Haselrig,1,Pittsburgh-Johnstown,9,Iowa,275,275,1989,0,
Joel Greenlee,Jeff Balcom,Joel Greenlee,5,Jeff Balcom,2,r8,,,DEC,Joel Greenlee,2,Northern Iowa,10,Minnesota,275,275,1989,0,
Pat McDade,Chris Thornbury,Pat McDade,8,Chris Thornbury,1,r8,,,DEC,Pat McDade,3,Boise State,11,Tennessee-Chattanooga,275,275,1989,0,
Jon Llewellyn,Carlton Haselrig,Jon Llewellyn,4,Carlton Haselrig,9,r4,,,DEC,Carlton Haselrig,4,Illinois,1,Pittsburgh-Johnstown,275,275,1989,0,
Joel Greenlee,Pat McDade,Joel Greenlee,10,Pat McDade,2,r4,,,MD,Joel Greenlee,2,Northern Iowa,3,Boise State,275,275,1989,0,
Carlton Haselrig,Joel Greenlee,Carlton Haselrig,1,Joel Greenlee,0,m1,,,DEC,Carlton Haselrig,1,Pittsburgh-Johnstown,2,Northern Iowa,275,275,1989,0,
Kevin Marriner,Tom Osendorf,Kevin Marriner,3,Tom Osendorf,5,c1,,,DEC,Tom Osendorf,,Central Connecticut,,Cal State-Bakersfield,275,275,1989,0,
Scott Ulrich,Kirk Mammen,Scott Ulrich,2,Kirk Mammen,3,c1,,,DEC,Kirk Mammen,,Air Force,,Oklahoma State,275,275,1989,0,
Mark Snuffin,Rob Cole,Mark Snuffin,8,Rob Cole,6,c1,,,DEC,Mark Snuffin,,American,,Syracuse,275,275,1989,0,
Jeff Datkuliak,Greg Haladay,Jeff Datkuliak,2,Greg Haladay,8,c1,1,,DEC,Greg Haladay,,Kent State,8,Penn State,275,275,1989,0,
Vince Cameron,Clark Schnepel,Vince Cameron,2,Clark Schnepel,4,c1,,,DEC,Clark Schnepel,,Ohio Northern,,Nebraska-Omaha,275,275,1989,0,
Sonny Manley,Brian Jackson,Sonny Manley,-2,Brian Jackson,-1,c1,,1:00,F,Brian Jackson,,Nebraska,7,North Carolina State,275,275,1989,0,
Joe Rozanc,Bryan Bittle,Joe Rozanc,9,Bryan Bittle,5,c1,,,DEC,Joe Rozanc,,Clarion,,Clemson,275,275,1989,0,
Bye,Bob Potokar,Bye,-4,Bob Potokar,-3,c1,,,DFT,Bob Potokar,,Bye,,Michigan,275,275,1989,0,
Tom Osendorf,Kirk Mammen,Tom Osendorf,2,Kirk Mammen,5,c2,,,DEC,Kirk Mammen,,Cal State-Bakersfield,,Oklahoma State,275,275,1989,0,
Mark Snuffin,Greg Haladay,Mark Snuffin,1,Greg Haladay,7,c2,,,DEC,Greg Haladay,,American,8,Penn State,275,275,1989,0,
Clark Schnepel,Brian Jackson,Clark Schnepel,1,Brian Jackson,4,c2,,,DEC,Brian Jackson,,Nebraska-Omaha,7,North Carolina State,275,275,1989,0,
Joe Rozanc,Bob Potokar,Joe Rozanc,1,Bob Potokar,3,c2,,,DEC,Bob Potokar,,Clarion,,Michigan,275,275,1989,0,
Kirk Mammen,Chris Thornbury,Kirk Mammen,2,Chris Thornbury,1,br,1,,DEC,Kirk Mammen,,Oklahoma State,11,Tennessee-Chattanooga,275,275,1989,0,
Greg Haladay,Jeff Balcom,Greg Haladay,6,Jeff Balcom,2,br,,,DEC,Greg Haladay,8,Penn State,10,Minnesota,275,275,1989,0,
Brian Jackson,Andy Haman,Brian Jackson,2,Andy Haman,1,br,1,,DEC,Brian Jackson,7,North Carolina State,9,Iowa,275,275,1989,0,
Bob Potokar,John Matyiko,Bob Potokar,1,John Matyiko,2,br,1,,DEC,John Matyiko,,Michigan,5,Virginia,275,275,1989,0,
Kirk Mammen,Greg Haladay,Kirk Mammen,3,Greg Haladay,2,c4,,,DEC,Kirk Mammen,,Oklahoma State,8,Penn State,275,275,1989,0,
Brian Jackson,John Matyiko,Brian Jackson,4,John Matyiko,2,c4,,,DEC,Brian Jackson,7,North Carolina State,5,Virginia,275,275,1989,0,
Kirk Mammen,Jon Llewellyn,Kirk Mammen,2,Jon Llewellyn,11,cs,,,MD,Jon Llewellyn,,Oklahoma State,4,Illinois,275,275,1989,0,
Brian Jackson,Pat McDade,Brian Jackson,2,Pat McDade,3,cs,,,DEC,Pat McDade,7,North Carolina State,3,Boise State,275,275,1989,0,
Jon Llewellyn,Pat McDade,Jon Llewellyn,3,Pat McDade,2,m3,,,DEC,Jon Llewellyn,4,Illinois,3,Boise State,275,275,1989,0,
Brian Jackson,Kirk Mammen,Brian Jackson,6,Kirk Mammen,1,m5,,,DEC,Brian Jackson,7,North Carolina State,,Oklahoma State,275,275,1989,0,
Greg Haladay,John Matyiko,Greg Haladay,4,John Matyiko,3,m7,,,DEC,Greg Haladay,8,Penn State,5,Virginia,275,275,1989,0,
